sim_time,power
8.0,17.8020179947
1616.0,0.019747600040000535
4816.0,0.0
8016.0,0.0
11216.0,0.0
14416.0,0.0
17616.0,0.0
20816.0,0.0
24016.0,0.0
27216.0,0.0
30416.0,0.0
33616.0,0.0
36816.0,0.0
40016.0,0.0
43216.0,0.0
46416.0,0.0
49616.0,0.0
52816.0,0.0
56016.0,0.0
59216.0,0.0
62416.0,0.0
65616.0,0.0
68816.0,0.0
72016.0,0.0
75216.0,0.0
78416.0,0.0
81616.0,0.0
84816.0,0.0
88016.0,0.0
91216.0,0.0
94416.0,0.0
97616.0,0.0
100816.0,0.0
104016.0,0.0
107216.0,0.0
110416.0,0.0
113616.0,0.0
116816.0,0.0
120016.0,0.0
123216.0,0.0
126416.0,0.0
129616.0,0.0
132816.0,0.0
136016.0,0.0
139216.0,0.0
142416.0,0.0
145616.0,0.0
148816.0,0.0
152016.0,0.0
155216.0,0.0
158416.0,0.0
161616.0,0.0
164816.0,0.0
168016.0,0.0
171216.0,0.0
174416.0,0.0
177616.0,0.0
180816.0,0.0
184016.0,0.0
187216.0,0.0
190416.0,0.0
193616.0,0.0
196816.0,0.0
200016.0,0.0
203216.0,0.0
206416.0,0.0
209616.0,0.0
212816.0,0.4983622815000004
216016.0,0.0
219216.0,0.0
222416.0,0.0
225616.0,0.0
228816.0,0.0
232016.0,0.0
235216.0,0.0
238416.0,0.0
241616.0,0.0
244816.0,0.0
248016.0,0.0
251216.0,0.0
254416.0,0.0
257616.0,0.0
260816.0,0.0
264016.0,0.0
267216.0,0.0
270416.0,0.0
273616.0,0.0
276816.0,0.0
280016.0,0.0
283216.0,0.0
286416.0,0.0
289616.0,0.0
292816.0,0.0
296016.0,0.0
299216.0,0.0
302416.0,0.0
305616.0,0.0
308816.0,0.0
312016.0,0.0
315216.0,0.0
318416.0,0.0
321616.0,0.0
324816.0,0.0
328016.0,0.0
331216.0,0.0
334416.0,0.0
337616.0,0.0
340816.0,0.0
344016.0,0.0
347216.0,0.0
350416.0,0.0
353616.0,0.0
356816.0,0.0
360016.0,0.0
363216.0,0.0
366416.0,0.0
369616.0,0.0
372816.0,0.0
376016.0,0.0
379216.0,0.0
382416.0,0.0
385616.0,0.0
388816.0,0.0
392016.0,0.0
395216.0,0.0
398416.0,0.0
401616.0,0.0
404816.0,0.0
408016.0,0.0
411216.0,0.0
414416.0,0.0
417616.0,0.0
420816.0,0.0
424016.0,0.0
427216.0,0.0
430416.0,0.0
433616.0,0.0
436816.0,0.0
440016.0,0.0
443216.0,0.0
446416.0,0.0
449616.0,0.0
452816.0,0.0
456016.0,0.0
459216.0,0.0
462416.0,0.0
465616.0,0.0
468816.0,0.0
472016.0,0.0
475216.0,0.0
478416.0,0.0
481616.0,0.0
484816.0,0.0
488016.0,0.0
491216.0,0.0
494416.0,0.0
497616.0,0.0
500816.0,0.0
504016.0,0.0
507216.0,0.0
510416.0,0.0
513616.0,0.0
516816.0,0.0
520016.0,0.0
523216.0,0.0
526416.0,0.0
529616.0,0.0
532816.0,0.0
536016.0,0.0
539216.0,0.0
542416.0,0.0
545616.0,0.0
548816.0,0.0
552016.0,0.0
555216.0,0.0
558416.0,0.0
561616.0,0.0
564816.0,0.0
568016.0,0.0
571216.0,0.0
574416.0,0.0
577616.0,0.0
580816.0,0.0
584016.0,0.0
587216.0,0.0
590416.0,0.0
593616.0,0.0
596816.0,0.0
600016.0,0.0
603216.0,0.0
606416.0,0.0
609616.0,0.0
612816.0,0.0
616016.0,0.0
619216.0,0.0
622416.0,0.0
625616.0,0.0
628816.0,0.0
632016.0,0.0
635216.0,0.0
638416.0,0.0
641616.0,0.0
644816.0,0.0
648016.0,0.0
651216.0,0.0
654416.0,0.0
657616.0,0.0
660816.0,0.0
664016.0,0.0
667216.0,0.0
670416.0,0.0
673616.0,0.0
676816.0,0.0
680016.0,0.0
683216.0,0.0
686416.0,0.0
689616.0,0.0
692816.0,0.0
696016.0,0.0
699216.0,0.0
702416.0,0.0
705616.0,0.0
708816.0,0.0
712016.0,0.0
715216.0,0.0
718416.0,0.0
721616.0,0.0
724816.0,0.0
728016.0,0.0
731216.0,0.0
734416.0,0.0
737616.0,0.0
740816.0,0.0
744016.0,0.0
747216.0,0.0
750416.0,0.0
753616.0,0.0
756816.0,0.0
760016.0,0.0
763216.0,0.0
766416.0,0.0
769616.0,0.0
772816.0,0.0
776016.0,0.0
779216.0,0.0
782416.0,0.0
785616.0,0.0
788816.0,0.0
792016.0,0.0
795216.0,0.0
798416.0,0.0
801616.0,0.0
804816.0,0.0
808016.0,0.0
811216.0,0.0
814416.0,0.0
817616.0,0.0
820816.0,0.0
824016.0,0.0
827216.0,0.0
830416.0,0.0
833616.0,0.0
836816.0,0.0
840016.0,0.0
843216.0,0.0
846416.0,0.0
849616.0,0.0
852816.0,0.0
856016.0,0.0
859216.0,0.0
862416.0,0.0
865616.0,0.0
868816.0,0.0
872016.0,0.0
875216.0,0.0
878416.0,0.0
881616.0,0.0
884816.0,0.0
888016.0,0.0
891216.0,0.0
894416.0,0.0
897616.0,0.0
900816.0,0.0
904016.0,0.0
906570.75,0.0
