sim_time,power
8.0,19.3430334424
1616.0,0.0198215438400009
4816.0,0.0
8016.0,0.0
11216.0,0.0
14416.0,0.0
17616.0,0.0
20816.0,0.0
24016.0,0.0
27216.0,0.0
30416.0,0.0
33616.0,0.0
36816.0,0.0
40016.0,0.0
43216.0,0.0
46416.0,0.0
49616.0,0.0
52816.0,0.0
56016.0,0.0
59216.0,0.0
62416.0,0.0
65616.0,0.0
68816.0,0.0
72016.0,0.0
75216.0,0.0
78416.0,0.0
81616.0,0.0
84816.0,0.0
88016.0,0.0
91216.0,0.0
94416.0,0.0
97616.0,0.0
100816.0,0.0
104016.0,0.0
107216.0,0.0
110416.0,0.0
113616.0,0.0
116816.0,0.0
120016.0,0.0
123216.0,0.0
126416.0,0.0
129616.0,0.0
132816.0,0.0
136016.0,0.0
139216.0,0.0
142416.0,0.0
145616.0,0.0
148816.0,0.0
152016.0,0.0
155216.0,0.0
158416.0,0.0
161616.0,0.0
164816.0,0.0
168016.0,0.0
171216.0,0.0
174416.0,0.0
177616.0,0.0
180816.0,0.0
184016.0,0.0
187216.0,0.0
190416.0,0.0
193616.0,0.0
196816.0,0.0
200016.0,0.0
203216.0,0.0
206416.0,0.0
209616.0,0.0
212816.0,0.0
216016.0,0.0
219216.0,0.0
222416.0,0.0
225616.0,0.0
228816.0,0.0
232016.0,0.0
235216.0,0.0
238416.0,0.0
241616.0,0.0
244816.0,0.0
248016.0,0.0
251216.0,0.0
254416.0,0.0
257616.0,0.07459116242999997
260816.0,1.4691571892699997
264016.0,1.5302313738600013
267216.0,1.1418572373100009
270416.0,1.1498385330900014
273616.0,1.143287163070001
276816.0,1.1481195151500003
280016.0,1.1403719611300005
283216.0,1.1494126585199993
286416.0,1.1440685625100002
289616.0,1.1464082972000007
292816.0,1.1417131256400008
296016.0,1.1489506410300017
299216.0,1.1472672316000008
302416.0,1.148762305370001
305616.0,1.1380051363500012
308816.0,1.14962983673
312016.0,1.1473785775800014
315216.0,1.1486695420900013
318416.0,1.1364143056099998
321616.0,1.1472009484400019
324816.0,1.1468230118099996
328016.0,1.1516524878900007
331216.0,1.1377404066099999
334416.0,1.1483803056900008
337616.0,1.146837736130001
340816.0,1.1496346828300013
344016.0,1.1402020991700006
347216.0,1.1466465719900008
350416.0,1.1451608042100005
353616.0,1.14825104054
356816.0,1.1397822040500003
360016.0,1.1504974750900008
363216.0,1.1435810593900015
366416.0,1.1490643156000004
369616.0,1.1418572373100009
372816.0,1.1498385330900014
376016.0,1.143287163070001
379216.0,1.1481195151500003
382416.0,1.1403719611300005
385616.0,1.1494126585199993
388816.0,1.1440685625100002
392016.0,1.1464082972000007
395216.0,1.1417131256400008
398416.0,1.1489506410300017
401616.0,1.1472672316000008
404816.0,1.148762305370001
408016.0,1.1380051363500012
411216.0,1.14962983673
414416.0,1.1473785775800014
417616.0,1.1486695420900013
420816.0,1.1364143056099998
424016.0,1.1472009484400019
427216.0,1.1468230118099996
430416.0,1.1516524878900007
433616.0,1.1377404066099999
436816.0,1.1483803056900008
440016.0,1.146837736130001
443216.0,1.1496346828300013
446416.0,1.1402020991700006
449616.0,1.1466465719900008
452816.0,1.1451608042100005
456016.0,1.14825104054
459216.0,1.1397822040500003
462416.0,1.1504974750900008
465616.0,1.1435810593900015
468816.0,1.1490643156000004
472016.0,1.1418572373100009
475216.0,1.1498385330900014
478416.0,1.143287163070001
481616.0,1.1481195151500003
484816.0,1.1403719611300005
488016.0,1.1494126585199993
491216.0,1.1440685625100002
494416.0,1.1464082972000007
497616.0,1.1417131256400008
500816.0,1.1489506410300017
504016.0,1.1472672316000008
507216.0,1.148762305370001
510416.0,1.1380051363500012
513616.0,1.14962983673
516816.0,1.1473785775800014
520016.0,1.1486695420900013
523216.0,1.1364143056099998
526416.0,1.1472009484400019
529616.0,1.1468230118099996
532816.0,1.1516524878900007
536016.0,1.1377404066099999
539216.0,1.1483803056900008
542416.0,1.146837736130001
545616.0,1.1496346828300013
548816.0,1.1402020991700006
552016.0,1.1466465719900008
555216.0,1.1451608042100005
558416.0,1.14825104054
561616.0,1.1397822040500003
564816.0,1.1504974750900008
568016.0,1.1435810593900015
571216.0,1.1490643156000004
574416.0,1.1418572373100009
577616.0,1.1498385330900014
580816.0,1.143287163070001
584016.0,1.1481195151500003
587216.0,1.1403719611300005
590416.0,1.1494126585199993
593616.0,1.1440685625100002
596816.0,1.1464082972000007
600016.0,1.1417131256400008
603216.0,1.1489506410300017
606416.0,1.1472672316000008
609616.0,1.148762305370001
612816.0,1.1380051363500012
616016.0,1.14962983673
619216.0,1.1473785775800014
622416.0,1.1486695420900013
625616.0,1.1364143056099998
628816.0,1.1472009484400019
632016.0,1.1468230118099996
635216.0,1.1516524878900007
638416.0,1.1377404066099999
641616.0,1.1483803056900008
644816.0,1.146837736130001
648016.0,1.1496346828300013
651216.0,1.1402020991700006
654416.0,1.1466465719900008
657616.0,1.1451608042100005
660816.0,1.14825104054
664016.0,1.1397822040500003
667216.0,1.1504974750900008
670416.0,1.1435810593900015
673616.0,1.1490643156000004
676816.0,1.1418572373100009
680016.0,1.1498385330900014
683216.0,1.143287163070001
686416.0,1.1481195151500003
689616.0,1.1403719611300005
692816.0,1.1494126585199993
696016.0,1.1440685625100002
699216.0,1.1464082972000007
702416.0,1.1417131256400008
705616.0,1.1489506410300017
708816.0,1.1472672316000008
712016.0,1.148762305370001
715216.0,1.1380051363500012
718416.0,1.14962983673
721616.0,1.1473785775800014
724816.0,1.1486695420900013
728016.0,1.1364143056099998
731216.0,1.1472009484400019
734416.0,1.1468230118099996
737616.0,1.1516524878900007
740816.0,1.1377404066099999
744016.0,1.1483803056900008
747216.0,1.146837736130001
750416.0,1.1496346828300013
753616.0,1.1402020991700006
756816.0,1.1466465719900008
760016.0,1.1451608042100005
763216.0,1.14825104054
766416.0,1.1397822040500003
769616.0,1.1504974750900008
772816.0,1.1435810593900015
776016.0,1.1490643156000004
779216.0,1.1418572373100009
